Date;Model name;Data name;Seed count;Table count;Minimum precision;Maximum precision;Duration (seconds)
2024-04-28 18:31:17;Phi-3-mini-4k-instruct-fp16.gguf;wikitablequestions:test;1;100;23%;20%;79
2024-04-28 18:32:14;SambaLingo-Hungarian-Chat-Q8_0.gguf;wikitablequestions:test;1;100;11%;12%;57
2024-04-28 18:33:38;Meta-Llama-3-8B-Instruct.Q8_0.gguf;wikitablequestions:test;1;100;24%;25%;84
2024-04-28 18:35:03;openbiollm-llama3-8b.Q8_0.gguf;wikitablequestions:test;1;100;26%;27%;85
2024-04-28 18:36:25;dolphin-2.9-llama3-8b-q8_0.gguf;wikitablequestions:test;1;100;35%;29%;82
2024-04-28 19:02:59;Meta-Llama-3-70B-Instruct.Q4_K_M.gguf;wikitablequestions:test;1;100;45%;33%;885
2024-04-28 19:55:03;Phi-3-mini-4k-instruct-fp16.gguf;wikitablequestions:test;1;4170;20%;17%;987
2024-04-29 06:52:51;llama-2-7b-32k-instruct.Q8_0.gguf;wikitablequestions:test;1;100;10%;22%;60
2024-04-29 07:50:23;llama-2-7b-32k-instruct.Q8_0.gguf;wikitablequestions:test;1;100;0.07;0.15;64.34
2024-04-29 09:30:39;llama-2-7b-32k-instruct.Q8_0.gguf;wikitablequestions:test;1;100;0.09;0.23;899.47
2024-04-29 09:46:22;llama-2-7b-32k-instruct.Q8_0.gguf;wikitablequestions:test;1;100;0.04;0.2;80.70
2024-04-29 10:41:00;Phi-3-mini-4k-instruct-fp16.gguf;wikitablequestions:test;1;100;0.15;0.15;25.35
2024-04-29 16:49:29;Meta-Llama-3-8B-Instruct.Q8_0.gguf;wikitablequestions:test;3;10;0.10;0.20;18.22
2024-04-29 17:09:06;Meta-Llama-3-8B-Instruct.Q8_0.gguf;wikitablequestions:test;3;100;0.14;0.18;113.07
2024-04-29 17:43:51;Phi-3-mini-4k-instruct-fp16.gguf;wikitablequestions:test;3;100;0.08;0.14;109.31
2024-04-29 17:56:15;Phi-3-mini-4k-instruct-fp16.gguf;wikitablequestions:test;3;100;0.06;0.07;81.29
2024-04-29 17:58:53;SambaLingo-Hungarian-Chat-Q8_0.gguf;wikitablequestions:test;3;100;0.00;0.01;112.24
2024-04-29 18:01:26;Meta-Llama-3-8B-Instruct.Q8_0.gguf;wikitablequestions:test;3;100;0.11;0.14;110.82
2024-04-29 18:04:08;openbiollm-llama3-8b.Q8_0.gguf;wikitablequestions:test;3;100;0.07;0.14;110.41
2024-04-29 18:06:43;dolphin-2.9-llama3-8b-q8_0.gguf;wikitablequestions:test;3;100;0.14;0.17;103.78
2024-04-29 18:16:07;Phi-3-mini-4k-instruct-fp16.gguf;wikitablequestions:test;3;100;0.12;0.19;106.22
2024-04-29 18:19:58;SambaLingo-Hungarian-Chat-Q8_0.gguf;wikitablequestions:test;3;100;0.07;0.12;187.86
2024-04-29 18:22:30;Meta-Llama-3-8B-Instruct.Q8_0.gguf;wikitablequestions:test;3;100;0.22;0.35;109.67
2024-04-29 18:25:08;openbiollm-llama3-8b.Q8_0.gguf;wikitablequestions:test;3;100;0.22;0.30;108.14
2024-04-29 18:27:42;dolphin-2.9-llama3-8b-q8_0.gguf;wikitablequestions:test;3;100;0.24;0.32;103.01
2024-04-29 19:14:39;Meta-Llama-3-70B-Instruct.Q4_K_M.gguf;wikitablequestions:test;3;100;0.38;0.43;2545.79
2024-04-29 19:17:53;llama-2-7b-32k-instruct.Q8_0.gguf;wikitablequestions:test;3;100;0.25;0.28;143.88
2024-04-30 12:56:04;Phi-3-mini-4k-instruct-q4.gguf;wikitablequestions:HUN;3;100;0.07;0.14;145.87
2024-04-30 13:00:11;Phi-3-mini-4k-instruct-fp16.gguf;wikitablequestions:HUN;3;100;0.11;0.13;58.65
2024-04-30 13:02:33;SambaLingo-Hungarian-Chat-Q8_0.gguf;wikitablequestions:HUN;3;100;0.08;0.10;72.55
2024-04-30 13:06:29;Meta-Llama-3-8B-Instruct.Q8_0.gguf;wikitablequestions:HUN;3;100;0.08;0.17;165.26
2024-04-30 13:08:34;openbiollm-llama3-8b.Q8_0.gguf;wikitablequestions:HUN;3;100;0.11;0.13;74.01
2024-04-30 13:11:21;dolphin-2.9-llama3-8b-q8_0.gguf;wikitablequestions:HUN;3;100;0.10;0.15;114.50
2024-04-30 13:21:41;llama-2-7b-32k-instruct.Q8_0.gguf;wikitablequestions:HUN;3;100;0.07;0.08;171.16
2024-04-30 13:23:11;Phi-3-mini-4k-instruct-q4.gguf;wikitablequestions:HUN;3;100;0.08;0.14;70.30
2024-04-30 13:41:34;PULI-LlumiX-32K-Q4_K_S.gguf;wikitablequestions:HUN;3;100;0.09;0.09;479.97
2024-04-30 13:58:29;PULI-LlumiX-32K-Q4_K_S.gguf;wikitablequestions:HUN;3;100;0.11;0.13;333.62
